relaxed_bgcome_size	Cyanobacteriota_multicellularity_genes	Cyanobacteriota_sporulation_genes
43466.0	1	2
424048.0	11	5
39991.0	1	1
585976.0	11	5
36098.0	0	1
81438.0	1	1
103561.00000000001	3	2
83360.0	1	1
370270.0	11	5
1065482.0	11	5
426461.0	3	3
60928.00000000001	1	1
61031.0	1	1
136740.0	1	1
786878.0	11	5
847855.0	11	5
54793.00000000001	1	2
84900.0	1	1
167448.0	1	1
80897.0	1	1
61357.0	1	1
61753.99999999999	3	2
103763.0	1	1
0.0	1	2
0.0	1	2
268557.0	11	5
492888.0	2	3
64630.0	0	1
41233.0	1	2
112570.99999999999	1	1
63405.0	1	2
643363.0	11	5
543342.0	11	5
80930.0	1	1
43517.0	0	2
205954.0	1	1
61016.0	1	1
20888.0	1	3
129180.0	3	3
2037369.0	11	4
0.0	1	2
20465.0	1	2
933202.0	11	5
33645.0	1	2
43528.0	1	2
63405.0	1	1
0.0	1	2
21212.0	1	2
82148.0	1	1
506749.0	11	5
61023.00000000001	1	1
63968.0	1	2
42148.0	1	1
52133.0	1	1
88384.0	1	1
210608.0	10	5
40767.0	1	1
43521.0	0	2
43457.0	1	2
43520.0	1	2
498527.99999999994	3	4
468224.0	11	5
1056948.0	11	5
59187.0	1	2
42136.0	1	1
0.0	1	2
0.0	1	2
43148.0	1	2
110928.0	1	1
82523.0	0	1
86132.0	3	2
118239.00000000001	0	1
0.0	0	1
54882.99999999999	1	2
751110.0	11	5
103055.0	1	1
1073127.0	11	4
80387.0	1	1
441632.0	11	4
164372.0	9	5
639037.0	11	5
61116.0	1	1
531622.0	11	5
38195.0	1	2
82625.0	1	1
61058.99999999999	1	1
43532.0	1	2
63935.00000000001	1	2
57092.0	1	2
902887.0000000001	11	5
463582.0	11	5
43532.0	1	2
43517.0	1	2
63405.0	1	1
104416.0	1	1
149566.0	1	1
133317.0	1	1
81098.0	11	4
63405.0	1	1
43585.0	1	2
897565.0	11	5
229845.0	11	5
0.0	1	2
