GCA	Version_Match	TaxID
GCA_000149865	True	403673
GCA_000149925	True	418459
GCA_000146915	True	321614
GCA_000149305	True	246409
GCA_000151295	True	578462
GCA_000182895	True	240176
GCA_000203795	True	684364
GCA_000151645	True	39416
GCA_000235945	True	166479
GCA_000002865	True	431895
GCA_000146045	True	559292
GCA_000225545	True	756982
GCA_000226115	True	578455
GCA_000002945	True	4896
GCA_000003515	True	336963
GCA_000002525	True	284591
GCA_000313485	True	1041607
GCA_000349385	True	1287681
GCA_000338955	True	717646
GCA_000354255	True	665024
GCA_000385595	True	1287680
GCA_000182925	True	367110
GCA_000392275	True	1286976
GCA_000442015	True	988480
GCA_000498615	True	1400345
GCA_000516985	True	1229662
GCA_000365145	True	1220924
GCA_000400465	True	1299270
GCA_000151315	True	595528
GCA_000442125	True	1353255
GCA_000388065	True	691883
GCA_000442885	True	1333698
GCA_000401635	True	1220926
GCA_000412615	True	1987568
GCA_000417875	True	1277687
GCA_000467715	True	1136866
GCA_000464535	True	1263415
GCA_000604185	True	1266767
GCA_000697415	True	1357687
GCA_000611775	True	87280
GCA_000697455	True	1357690
GCA_000721755	True	1043005
GCA_000708205	True	764103
GCA_000261425	True	1151026
GCA_000697055	True	1274794
GCA_000738655	True	1437871
GCA_000001215	True	7227
GCA_000732205	True	1425883
GCA_000812885	True	1424426
GCA_000836135	True	1450757
GCA_000812075	True	315946
GCA_000950595	True	91626
GCA_000328475	True	237631
GCA_000968615	True	72032
GCA_001013415	True	333523
GCA_000836435	True	1442371
GCA_000836295	True	253628
GCA_000963775	True	29856
GCA_001179705	True	139080
GCA_000182565	True	645134
GCA_001270325	True	1266744
GCA_001447215	True	626713
GCA_001510565	True	1215355
GCA_001513895	True	67622
GCA_001557505	True	1028407
GCA_001563115	True	1460502
GCA_001566295	True	196109
GCA_001574975	True	1344416
GCA_001566745	True	796925
GCA_001638985	True	763407
GCA_001630345	True	1330018
GCA_001599975	True	5440
GCA_001600815	True	54196
GCA_001651415	True	1314771
GCA_001604925	True	121624
GCA_001636715	True	392613
GCA_001619985	True	1328760
GCA_001642045	True	1460663
GCA_001599595	True	409207
GCA_001599695	True	89928
GCA_001600455	True	1633209
GCA_001636725	True	1081104
GCA_001660795	True	5474
GCA_001662655	True	342668
GCA_001692735	True	1314670
GCA_001600175	True	114840
GCA_001692915	True	574774
GCA_001661425	True	983967
GCA_001661345	True	1344418
GCA_900119595	True	56406
GCA_900073065	True	576137
GCA_001929475	True	1198029
GCA_001956345	True	475428
GCA_002102555	True	765915
GCA_002104985	True	329046
GCA_002083745	True	86635
GCA_002104995	True	61395
GCA_002105095	True	1141098
GCA_002104905	True	1314790
GCA_002104935	True	101127
GCA_002104975	True	1754190
GCA_002105025	True	1231657
GCA_002105135	True	13706
GCA_002162545	True	38448
GCA_002127715	True	1157616
GCA_002104895	True	1754192
GCA_002104945	True	1754191
GCA_002105105	True	2754530
GCA_002105155	True	64571
GCA_002157105	True	73868
GCA_002214945	True	64517
GCA_002240705	True	519963
GCA_002319055	True	206542
GCA_002261195	True	1938954
GCA_002081935	True	110526
GCA_002374405	True	1323754
GCA_002368545	True	508918
GCA_002572855	True	73230
GCA_002591845	True	55200
GCA_002798055	True	91930
GCA_002818225	True	2020962
GCA_002705745	True	763665
GCA_002778095	True	95322
GCA_002794465	True	1246581
GCA_002865625	True	2082293
GCA_001481775	True	398673
GCA_002927785	True	174080
GCA_002916505	True	94208
GCA_003012165	True	1859971
GCA_003013795	True	40998
GCA_002989075	True	39680
GCA_003049485	True	367097
GCA_003019875	True	857342
GCA_003016335	True	1448308
GCA_003019895	True	2025994
GCA_003086735	True	133385
GCA_003073855	True	97972
GCA_003144135	True	1684307
GCA_003118255	True	523103
GCA_003184365	True	87257
GCA_900120095	True	796604
GCA_900465125	True	225338
GCA_003264845	True	40262
GCA_003313425	True	285811
GCA_003385255	True	930093
GCA_003550325	True	44941
GCA_900536445	True	1640341
GCA_003614675	True	215637
GCA_003610855	True	212602
GCA_900290415	True	48703
GCA_003614705	True	388810
GCA_003574815	True	1810908
GCA_003615045	True	1555241
GCA_003705295	True	45794
GCA_003706495	True	43958
GCA_003614145	True	1907219
GCA_003614755	True	1712513
GCA_003671545	True	218668
GCA_003705335	True	45504
