Family	ClassGroup	Class	InPhylo	WithOrWithout	Proportion	ProportionWith	TotalGenomes
JACPCJ01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	7With	0.0	0.0	1
JACPCJ01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	6Without	1.0	0.0	1
JACPCJ01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
Carbonactinosporaceae	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.6666666666666666	0.6666666666666666	3
Carbonactinosporaceae	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	0.33333333333333337	0.6666666666666666	3
Carbonactinosporaceae	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.6666666666666666	3
Oleimmundimicrobiaceae	5Other Actinomycetota	Aquicultoria	Not_In_Phylogeny	7With	0.0	0.0	2
Oleimmundimicrobiaceae	5Other Actinomycetota	Aquicultoria	Not_In_Phylogeny	6Without	1.0	0.0	2
Oleimmundimicrobiaceae	5Other Actinomycetota	Aquicultoria	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	2
JAMCPD01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	7With	0.0	0.0	2
JAMCPD01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	6Without	1.0	0.0	2
JAMCPD01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	2
JAJZJN01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	7With	0.0	0.0	1
JAJZJN01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	6Without	1.0	0.0	1
JAJZJN01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
JAFATL01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	7With	0.0	0.0	1
JAFATL01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	6Without	1.0	0.0	1
JAFATL01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
JACRBU01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	7With	0.0	0.0	1
JACRBU01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	6Without	1.0	0.0	1
JACRBU01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
FW305-bin1	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.0	0.0	1
FW305-bin1	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	1
FW305-bin1	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	1
JAHWKV01	5Other Actinomycetota	UBA4738	Not_In_Phylogeny	7With	0.0	0.0	2
JAHWKV01	5Other Actinomycetota	UBA4738	Not_In_Phylogeny	6Without	1.0	0.0	2
JAHWKV01	5Other Actinomycetota	UBA4738	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	2
JAAXUF01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	7With	0.0	0.0	2
JAAXUF01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	6Without	1.0	0.0	2
JAAXUF01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	2
QHCA01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.0	0.0	1
QHCA01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	1
QHCA01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	1
JACVIW01	5Other Actinomycetota	Geothermincolia	Not_In_Phylogeny	7With	0.0	0.0	1
JACVIW01	5Other Actinomycetota	Geothermincolia	Not_In_Phylogeny	6Without	1.0	0.0	1
JACVIW01	5Other Actinomycetota	Geothermincolia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
JADGOV01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.0	0.0	1
JADGOV01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	1
JADGOV01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	1
JAGXFU01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	7With	0.0	0.0	1
JAGXFU01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	6Without	1.0	0.0	1
JAGXFU01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
PHET01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	7With	0.0	0.0	2
PHET01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	6Without	1.0	0.0	2
PHET01	5Other Actinomycetota	Coriobacteriia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	2
GCA-002748415	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.0	0.0	2
GCA-002748415	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	2
GCA-002748415	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	2
Geothermincolaceae	5Other Actinomycetota	Geothermincolia	Not_In_Phylogeny	7With	0.0	0.0	3
Geothermincolaceae	5Other Actinomycetota	Geothermincolia	Not_In_Phylogeny	6Without	1.0	0.0	3
Geothermincolaceae	5Other Actinomycetota	Geothermincolia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	3
JAJYRW01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.0	0.0	1
JAJYRW01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	1
JAJYRW01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	1
JAHECE01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.0	0.0	1
JAHECE01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	1
JAHECE01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	1
JAMDDV01	5Other Actinomycetota	Humimicrobiia	Not_In_Phylogeny	7With	0.0	0.0	1
JAMDDV01	5Other Actinomycetota	Humimicrobiia	Not_In_Phylogeny	6Without	1.0	0.0	1
JAMDDV01	5Other Actinomycetota	Humimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
CADCTP01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.0	0.0	1
CADCTP01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	1
CADCTP01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	1
JAAEMS01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	7With	0.0	0.0	3
JAAEMS01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	6Without	1.0	0.0	3
JAAEMS01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	3
Cryptosporangiaceae	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.3333333333333333	0.3333333333333333	3
Cryptosporangiaceae	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	0.6666666666666667	0.3333333333333333	3
Cryptosporangiaceae	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.3333333333333333	3
JACQTL01	5Other Actinomycetota	UBA4738	Not_In_Phylogeny	7With	0.0	0.0	1
JACQTL01	5Other Actinomycetota	UBA4738	Not_In_Phylogeny	6Without	1.0	0.0	1
JACQTL01	5Other Actinomycetota	UBA4738	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
JAMDDE01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	7With	0.0	0.0	3
JAMDDE01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	6Without	1.0	0.0	3
JAMDDE01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	3
JAHWKY01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	7With	0.0	0.0	1
JAHWKY01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	6Without	1.0	0.0	1
JAHWKY01	2Actinomycetia	Actinomycetia	Not_In_Phylogeny	2Actinomycetia	0.1	0.0	1
JAGPDB01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	7With	0.0	0.0	1
JAGPDB01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	6Without	1.0	0.0	1
JAGPDB01	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	1
