Family	ClassGroup	Class	InPhylo	WithOrWithout	Proportion	ProportionWith	TotalGenomes
Microtrichaceae	5Other Actinomycetota	Acidimicrobiia	Not_In_Phylogeny	5Other Actinomycetota	0.1	0.0	109
Pseudonocardiaceae	3Actinomycetia - Clade-1	Actinomycetia	In_Phylogeny	7With	0.25146198830409355	0.25146198830409355	513
Pseudonocardiaceae	3Actinomycetia - Clade-1	Actinomycetia	In_Phylogeny	6Without	0.7485380116959064	0.25146198830409355	513
Pseudonocardiaceae	3Actinomycetia - Clade-1	Actinomycetia	Not_In_Phylogeny	3Actinomycetia - Clade-1	0.1	0.25146198830409355	513
Mycobacteriaceae	3Actinomycetia - Clade-1	Actinomycetia	In_Phylogeny	7With	0.22493442145147188	0.22493442145147188	13724
Mycobacteriaceae	3Actinomycetia - Clade-1	Actinomycetia	In_Phylogeny	6Without	0.7750655785485281	0.22493442145147188	13724
Mycobacteriaceae	3Actinomycetia - Clade-1	Actinomycetia	Not_In_Phylogeny	3Actinomycetia - Clade-1	0.1	0.22493442145147188	13724
Nakamurellaceae	3Actinomycetia - Clade-1	Actinomycetia	In_Phylogeny	7With	0.4117647058823529	0.4117647058823529	17
Nakamurellaceae	3Actinomycetia - Clade-1	Actinomycetia	In_Phylogeny	6Without	0.5882352941176471	0.4117647058823529	17
Nakamurellaceae	3Actinomycetia - Clade-1	Actinomycetia	Not_In_Phylogeny	3Actinomycetia - Clade-1	0.1	0.4117647058823529	17
Frankiaceae	3Actinomycetia - Clade-1	Actinomycetia	In_Phylogeny	7With	0.03488372093023256	0.03488372093023256	86
Frankiaceae	3Actinomycetia - Clade-1	Actinomycetia	In_Phylogeny	6Without	0.9651162790697675	0.03488372093023256	86
Frankiaceae	3Actinomycetia - Clade-1	Actinomycetia	Not_In_Phylogeny	3Actinomycetia - Clade-1	0.1	0.03488372093023256	86
Geodermatophilaceae	3Actinomycetia - Clade-1	Actinomycetia	In_Phylogeny	7With	0.15178571428571427	0.15178571428571427	112
Geodermatophilaceae	3Actinomycetia - Clade-1	Actinomycetia	In_Phylogeny	6Without	0.8482142857142857	0.15178571428571427	112
Geodermatophilaceae	3Actinomycetia - Clade-1	Actinomycetia	Not_In_Phylogeny	3Actinomycetia - Clade-1	0.1	0.15178571428571427	112
