variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
PL6_2	1.62E-02	3.62E-11	4.40E-06	4.59E+04	9.99E+03	7.03E-02	
GH76	4.16E-02	4.90E-16	5.81E-06	-2.88E+04	6.35E+03	6.95E-02	
GH8	1.83E-01	2.22E-38	6.39E-06	1.79E+04	3.96E+03	6.91E-02	
GH5_29	3.36E-02	3.29E-03	8.87E-06	-3.20E+04	7.20E+03	6.81E-02	
GH5	3.32E-01	1.89E-47	9.28E-06	1.60E+04	3.61E+03	6.79E-02	
CBM41	1.46E-01	4.90E-16	1.54E-05	2.26E+04	5.21E+03	6.62E-02	
GH5_35	7.69E-02	1.64E-32	2.71E-05	2.36E+04	5.61E+03	6.43E-02	
GH5_1	1.18E-01	1.80E-23	3.61E-05	2.05E+04	4.96E+03	6.33E-02	
GH172	9.17E-02	3.03E-08	4.32E-05	-1.90E+04	4.64E+03	6.27E-02	
PL6_1	1.72E-02	6.42E-11	4.52E-05	3.93E+04	9.63E+03	6.25E-02	
GH13_24	2.92E-02	5.57E-08	6.54E-05	3.19E+04	7.99E+03	6.12E-02	
GT108	7.48E-02	6.85E-19	7.15E-05	-2.16E+04	5.43E+03	6.09E-02	
GH13_28	5.75E-01	2.21E-30	7.45E-05	1.56E+04	3.94E+03	6.07E-02	
GH16_4	1.49E-01	1.30E-33	9.13E-05	1.74E+04	4.44E+03	6.00E-02	
GH81	3.08E-02	3.59E-14	9.49E-05	2.86E+04	7.33E+03	5.98E-02	
