GCA_000417875	Pseudozyma
GCA_027604705	Allomyces
GCA_003788615	Terfezia
GCA_001481775	Trichoderma
GCA_002989075	Arthonia
GCA_003988815	Chlorencoelia
GCA_027604345	Boothiomyces
GCA_025786725	Syncephalis
GCA_001563115	Colletotrichum
GCA_002006685	Batrachochytrium
GCA_027604745	Chytriomyces
GCA_027603945	Terramyces
GCA_027596035	Thoreauomyces
GCA_002916505	Tolypocladium
GCA_027604625	Blyttiomyces
GCA_027604545	Entophlyctis
GCA_001604925	Phyllosticta
GCA_001600455	Endocalyx
GCA_000388065	Fonticula
GCA_003706805	Trigonopsis
GCA_000950595	Mucor
GCA_001956345	Ramalina
GCA_027604645	Allomyces
GCA_000261425	Cladosporium
GCA_025201865	Ramicandelaber
GCA_000225545	Orbilia
GCA_002927785	Cladonia
GCA_025449115	Chytridium
GCA_027596065	Siphonaria
GCA_002794465	Paramicrosporidium
GCA_003385255	Corinectria
GCA_027604725	Entophlyctis
GCA_027602705	Geranomyces
GCA_003833135	Oehlia
GCA_003118255	Trichophyton
GCA_027604505	Gonapodya
GCA_003019875	Amorphotheca
GCA_002572855	Emmonsia
GCA_001599975	Cystobasidiopsis
GCA_027596195	Podochytrium
GCA_002104935	Hesseltinella
GCA_004000055	Arthrobotrys
GCA_025399215	Globomyces
GCA_900536445	Hymenoscyphus
GCA_003795315	Valsa
GCA_001929475	Neolecta
GCA_000708205	Mixia
GCA_002105135	Syncephalastrum
GCA_001510565	Knoxdaviesia
GCA_002240705	Elaphomyces
GCA_003706095	Ogataea
GCA_002104895	Anaeromyces
GCA_002105105	Protomyces
GCA_002104985	Rhizoclosmatium
GCA_003614145	Piptocephalis
GCA_000392275	Phaeoacremonium
GCA_001447215	Diaporthe
GCA_025765615	Zopfochytrium
GCA_001636715	Ascosphaera
GCA_017911155	Olpidium
GCA_000401635	Mucor
GCA_000738655	Venturia
GCA_003049485	Ophioceras
GCA_002127715	Hortaea
GCA_002818225	Malassezia
GCA_001599595	Beverwykella
GCA_001566295	Microdochium
GCA_000498615	Helminthosporium
GCA_027600665	Irineochytrium
GCA_001636725	Cordyceps
GCA_000968615	Thielaviopsis
GCA_025399175	Geranomyces
GCA_001179705	Baeospora
GCA_000442885	Zygosaccharomyces
GCA_006535985	Synchytrium
GCA_004014935	Saccharomycopsis
GCA_027595885	Globomyces
