og	og_after	support	og_direction	og_after_direction
OG_316	OG_216	3	+	+
OG_316	OG_295	1	+	+
OG_316	OG_437	1	+	+
OG_316	OG_170	2	+	+
OG_287	OG_15	15	+	+
OG_287	OG_188	1	+	+
OG_287	OG_250	1	+	+
OG_287	OG_216	1	+	+
OG_15	OG_216	15	+	+
OG_216	OG_217	38	+	+
OG_217	OG_76	16	+	+
OG_217	OG_218	21	+	+
OG_217	OG_351	2	+	+
OG_76	OG_218	16	+	+
OG_76	OG_303	1	+	+
OG_76	OG_84	1	+	+
OG_218	OG_351	37	+	+
OG_218	OG_514	1	+	+
OG_218	OG_328	2	+	+
OG_218	OG_336	1	+	+
OG_351	OG_219	38	+	+
OG_351	OG_218	1	+	+
OG_351	OG_220	1	+	+
OG_219	OG_220	38	+	+
OG_219	OG_351	1	+	+
OG_220	OG_350	15	+	+
OG_220	OG_86	23	+	+
OG_220	OG_219	1	+	+
OG_220	OG_169	1	+	+
OG_220	OG_448	1	+	+
OG_350	OG_221	36	+	+
OG_350	OG_352	1	+	+
OG_350	OG_236	1	+	+
OG_221	OG_17	25	+	+
OG_221	OG_222	10	+	+
OG_221	OG_224	1	+	+
OG_221	OG_181	1	+	+
OG_221	OG_220	1	+	+
OG_221	OG_279	3	+	+
OG_17	OG_224	18	+	+
OG_17	OG_233	1	+	+
OG_17	OG_83	2	+	+
OG_17	OG_222	5	+	+
OG_224	OG_83	36	+	+
OG_224	OG_4	1	+	+
OG_83	OG_192	16	+	+
OG_83	OG_285	1	+	+
OG_83	OG_249	5	+	+
OG_83	OG_316	1	+	+
OG_83	OG_169	7	+	+
OG_83	OG_86	4	+	+
OG_83	OG_431	1	+	+
OG_83	OG_225	2	+	+
OG_83	OG_176	1	+	+
OG_83	OG_477	1	+	+
OG_83	OG_295	1	+	+
OG_192	OG_248	15	+	+
OG_192	OG_216	1	+	+
OG_192	OG_181	1	+	+
OG_192	OG_465	1	+	+
OG_248	OG_352	5	+	+
OG_248	OG_306	10	+	+
OG_248	OG_188	2	+	+
OG_248	OG_176	2	+	+
OG_248	OG_67	1	+	+
OG_352	OG_225	15	+	+
OG_352	OG_181	1	+	+
OG_352	OG_186	1	+	+
OG_225	OG_226	39	+	+
OG_226	OG_227	38	+	+
OG_226	OG_485	1	+	+
OG_227	OG_228	39	+	+
OG_228	OG_229	38	+	+
OG_228	OG_350	1	+	+
OG_229	OG_230	37	+	+
OG_229	OG_560	1	+	-
OG_229	OG_280	1	+	+
OG_230	OG_318	36	+	+
OG_230	OG_231	2	+	+
OG_318	OG_285	29	+	+
OG_318	OG_396	1	+	+
OG_318	OG_295	1	+	+
OG_318	OG_302	4	+	+
OG_318	OG_188	1	+	+
OG_318	OG_299	1	+	+
OG_285	OG_188	15	+	+
OG_285	OG_225	1	+	+
OG_285	OG_232	9	+	+
OG_285	OG_176	6	+	+
OG_188	OG_232	27	+	+
OG_188	OG_181	1	+	+
OG_188	OG_160	4	+	+
OG_188	OG_17	1	+	+
OG_188	OG_216	2	+	+
OG_188	OG_182	2	+	+
OG_188	OG_67	1	+	+
OG_188	OG_225	2	+	+
OG_232	OG_233	37	+	+
OG_232	OG_10	1	+	+
OG_233	OG_349	15	+	+
OG_233	OG_235	8	+	+
OG_233	OG_269	4	+	+
OG_233	OG_506	1	+	+
OG_233	OG_234	5	+	+
OG_233	OG_622	1	+	+
OG_233	OG_172	2	+	+
OG_233	OG_280	3	+	+
OG_349	OG_269	15	+	+
OG_349	OG_334	1	+	+
OG_269	OG_235	28	+	+
OG_269	OG_242	1	+	+
OG_269	OG_284	1	+	+
OG_269	OG_87	10	+	+
OG_269	OG_317	1	+	+
OG_235	OG_237	1	+	+
OG_235	OG_236	37	+	+
OG_237	OG_6	17	+	+
OG_237	OG_239	1	+	+
OG_237	OG_292	2	+	+
OG_237	OG_507	1	+	+
OG_237	OG_295	2	+	+
OG_237	OG_171	4	+	+
OG_237	OG_422	1	+	+
OG_237	OG_432	1	+	+
OG_237	OG_265	1	+	+
OG_237	OG_333	1	+	+
OG_237	OG_8	1	+	+
OG_237	OG_163	1	+	+
OG_237	OG_192	1	+	+
OG_237	OG_86	1	+	+
OG_237	OG_67	1	+	+
OG_237	OG_181	1	+	+
OG_237	OG_170	1	+	+
OG_6	OG_163	12	+	+
OG_6	OG_295	5	+	+
OG_163	OG_9	1	+	+
OG_163	OG_8	20	+	+
OG_163	OG_188	2	+	+
OG_163	OG_241	1	+	+
OG_163	OG_265	2	+	+
OG_9	OG_10	15	+	+
OG_10	OG_149	9	+	+
OG_10	OG_156	2	+	+
OG_10	OG_12	3	+	+
OG_10	OG_11	4	+	+
OG_149	OG_12	9	+	+
OG_12	OG_179	26	+	+
OG_12	OG_284	10	+	+
OG_179	OG_13	16	+	+
OG_179	OG_182	1	+	+
OG_179	OG_168	4	+	+
OG_179	OG_84	7	+	+
OG_179	OG_184	5	+	+
OG_179	OG_167	3	+	+
OG_179	OG_67	1	+	+
OG_13	OG_168	15	+	+
OG_13	OG_184	1	+	+
OG_13	OG_175	1	+	+
OG_168	OG_170	22	+	+
OG_168	OG_171	1	+	+
OG_168	OG_621	1	+	+
OG_168	OG_216	1	+	+
OG_168	OG_265	2	+	+
OG_168	OG_77	5	+	+
OG_168	OG_434	1	+	+
OG_168	OG_328	1	+	+
OG_168	OG_169	3	+	+
OG_168	OG_86	1	+	+
OG_168	OG_178	1	+	+
OG_170	OG_265	14	+	+
OG_170	OG_174	1	+	+
OG_170	OG_77	3	+	+
OG_170	OG_508	1	+	+
OG_170	OG_221	1	+	+
OG_170	OG_306	4	+	+
OG_170	OG_176	1	+	+
OG_170	OG_217	1	+	+
OG_170	OG_216	2	+	+
OG_170	OG_299	1	+	+
OG_170	OG_163	2	+	+
OG_170	OG_73	1	+	+
OG_170	OG_250	1	+	+
OG_170	OG_332	1	+	+
OG_265	OG_77	14	+	+
OG_265	OG_216	1	+	+
OG_265	OG_181	9	+	+
OG_77	OG_156	14	+	+
OG_77	OG_234	10	+	+
OG_77	OG_174	1	+	+
OG_77	OG_319	3	+	+
OG_77	OG_165	7	+	+
OG_156	OG_319	22	+	+
OG_156	OG_166	1	+	+
OG_156	OG_269	1	+	+
OG_156	OG_618	1	+	-
OG_156	OG_218	1	+	+
OG_156	OG_420	1	+	+
OG_156	OG_12	1	+	+
OG_156	OG_174	1	+	+
OG_156	OG_167	1	+	+
OG_319	OG_328	24	+	+
OG_319	OG_77	1	+	+
OG_319	OG_87	1	+	+
OG_328	OG_2	3	+	+
OG_328	OG_151	8	+	+
OG_328	OG_184	5	+	+
OG_328	OG_167	9	+	+
OG_328	OG_358	1	+	+
OG_328	OG_331	1	+	+
OG_328	OG_4	1	+	+
OG_328	OG_84	1	+	+
OG_2	OG_86	10	+	+
OG_2	OG_299	2	+	+
OG_2	OG_337	2	+	+
OG_2	OG_315	9	+	+
OG_2	OG_314	4	+	+
OG_2	OG_3	2	+	+
OG_2	OG_67	1	+	+
OG_2	OG_295	1	+	+
OG_2	OG_282	1	+	+
OG_86	OG_315	10	+	+
OG_86	OG_295	3	+	+
OG_86	OG_350	22	+	+
OG_86	OG_170	1	+	+
OG_86	OG_225	2	+	+
OG_86	OG_265	1	+	+
OG_86	OG_163	1	+	+
OG_86	OG_483	1	+	+
OG_315	OG_176	10	+	+
OG_315	OG_4	3	+	+
OG_315	OG_282	3	+	+
OG_315	OG_306	1	+	+
OG_315	OG_299	1	+	+
OG_315	OG_337	2	+	+
OG_176	OG_337	2	+	+
OG_176	OG_241	9	+	+
OG_176	OG_4	8	+	+
OG_176	OG_225	3	+	+
OG_176	OG_250	6	+	+
OG_176	OG_188	8	+	+
OG_176	OG_182	3	+	+
OG_176	OG_265	1	+	+
OG_337	OG_174	7	+	+
OG_337	OG_172	10	+	+
OG_337	OG_280	2	+	+
OG_337	OG_11	1	+	+
OG_337	OG_234	1	+	+
OG_174	OG_283	34	+	+
OG_174	OG_175	1	+	+
OG_283	OG_84	18	+	+
OG_283	OG_167	1	+	+
OG_283	OG_175	15	+	+
OG_283	OG_13	1	+	+
OG_84	OG_175	18	+	+
OG_84	OG_243	3	+	+
OG_84	OG_168	7	+	+
OG_84	OG_356	1	+	+
OG_84	OG_331	1	+	+
OG_84	OG_2	4	+	+
OG_84	OG_317	1	+	+
OG_84	OG_184	1	+	+
OG_175	OG_266	31	+	+
OG_175	OG_168	2	+	+
OG_175	OG_338	1	+	+
OG_175	OG_188	1	+	+
OG_175	OG_176	3	+	+
OG_266	OG_92	9	+	+
OG_266	OG_157	2	+	+
OG_266	OG_314	6	+	+
OG_266	OG_169	6	+	+
OG_266	OG_287	1	+	+
OG_266	OG_182	3	+	+
OG_266	OG_292	1	+	+
OG_266	OG_299	1	+	+
OG_266	OG_250	1	+	+
OG_266	OG_170	1	+	+
OG_266	OG_332	1	+	+
OG_266	OG_243	1	+	+
OG_266	OG_480	1	+	+
OG_92	OG_299	10	+	+
OG_299	OG_8	1	+	+
OG_299	OG_93	8	+	+
OG_299	OG_158	2	+	+
OG_299	OG_4	3	+	+
OG_299	OG_250	2	+	+
OG_299	OG_429	1	+	+
OG_299	OG_188	3	+	+
OG_299	OG_445	1	+	+
OG_299	OG_332	1	+	+
OG_8	OG_93	1	+	+
OG_8	OG_9	14	+	+
OG_8	OG_75	5	+	+
OG_8	OG_181	3	+	+
OG_8	OG_478	1	+	+
OG_93	OG_94	12	+	+
OG_94	OG_162	12	+	+
OG_162	OG_243	9	+	+
OG_162	OG_269	1	+	+
OG_162	OG_165	4	+	+
OG_243	OG_331	25	+	+
OG_243	OG_234	1	+	+
OG_243	OG_2	5	+	+
OG_243	OG_303	1	+	+
OG_243	OG_266	3	+	+
OG_243	OG_314	4	+	+
OG_243	OG_171	1	+	+
OG_331	OG_314	14	+	+
OG_331	OG_302	8	+	+
OG_331	OG_254	2	+	+
OG_331	OG_427	1	+	+
OG_331	OG_189	1	+	+
OG_331	OG_234	1	+	+
OG_331	OG_169	1	+	+
OG_314	OG_302	13	+	+
OG_314	OG_156	1	+	+
OG_314	OG_257	2	+	+
OG_314	OG_295	2	+	+
OG_314	OG_292	2	+	+
OG_314	OG_267	3	+	+
OG_314	OG_248	1	+	+
OG_314	OG_163	1	+	+
OG_314	OG_303	1	+	+
OG_314	OG_306	1	+	+
OG_314	OG_326	1	+	+
OG_314	OG_241	1	+	+
OG_302	OG_187	12	+	+
OG_302	OG_176	7	+	+
OG_302	OG_241	2	+	+
OG_302	OG_188	4	+	+
OG_302	OG_306	1	+	+
OG_187	OG_241	12	+	+
OG_187	OG_188	1	+	+
OG_241	OG_67	8	+	+
OG_241	OG_186	5	+	+
OG_241	OG_181	17	+	+
OG_241	OG_303	10	+	+
OG_241	OG_438	1	+	+
OG_67	OG_181	5	+	+
OG_67	OG_232	1	+	+
OG_67	OG_307	2	+	+
