og	og_after	support	og_direction	og_after_direction
OG_191	OG_333	1	+	+
OG_191	OG_179	1	+	+
OG_195	OG_196	11	+	+
OG_196	OG_197	11	+	+
OG_200	OG_201	1	+	+
OG_200	OG_64	16	+	+
OG_200	OG_209	1	+	+
OG_200	OG_202	3	+	+
OG_200	OG_469	1	+	+
OG_213	OG_214	2	+	+
OG_213	OG_240	1	+	+
OG_213	OG_270	3	+	+
OG_215	OG_397	1	+	+
OG_215	end	1	+	+
OG_397	OG_401	1	+	-
OG_401	OG_400	1	-	-
OG_400	OG_399	1	-	-
OG_399	OG_398	1	-	-
OG_398	OG_402	1	-	+
OG_402	OG_403	1	+	+
OG_403	OG_404	1	+	+
OG_404	OG_405	1	+	+
OG_405	OG_406	1	+	+
OG_406	OG_407	1	+	+
OG_407	OG_408	1	+	+
OG_408	OG_409	1	+	+
OG_409	OG_410	1	+	+
OG_410	OG_411	1	+	+
OG_411	OG_412	1	+	+
OG_412	OG_414	1	+	+
OG_414	end	1	+	+
OG_306	OG_352	10	+	+
OG_306	OG_77	2	+	+
OG_306	OG_337	1	+	+
OG_306	OG_241	1	+	+
OG_306	OG_265	2	+	+
OG_306	OG_188	1	+	+
OG_151	OG_2	11	+	+
OG_4	OG_337	14	+	+
OG_4	OG_387	1	+	+
OG_4	OG_216	3	+	+
OG_4	OG_174	1	+	+
OG_329	OG_250	17	+	+
OG_329	OG_186	5	+	+
OG_329	OG_352	1	+	+
OG_329	OG_241	1	+	+
OG_102	OG_103	10	+	+
OG_103	OG_104	10	+	+
OG_441	OG_123	1	+	+
OG_470	OG_35	1	+	-
OG_35	OG_36	2	-	-
OG_35	OG_31	3	-	+
OG_36	OG_37	2	-	-
OG_36	OG_35	3	-	-
OG_37	OG_39	2	-	-
OG_37	OG_36	3	-	-
OG_39	OG_24	1	-	+
OG_39	OG_37	3	-	-
OG_39	OG_311	1	-	+
OG_249	OG_225	5	+	+
OG_249	OG_176	2	+	+
OG_292	OG_8	2	+	+
OG_292	OG_241	6	+	+
OG_292	OG_87	1	+	+
OG_75	OG_12	6	+	+
OG_75	OG_242	3	+	+
OG_75	OG_280	2	+	+
OG_158	OG_159	2	+	+
OG_159	OG_174	2	+	+
OG_157	OG_163	2	+	+
OG_160	OG_332	5	+	+
OG_161	OG_243	3	+	+
OG_161	OG_165	3	+	+
OG_68	OG_165	4	+	+
OG_68	OG_317	2	+	+
OG_68	OG_300	2	+	+
OG_68	OG_269	1	+	+
OG_152	OG_197	7	+	+
OG_153	OG_1	7	-	-
OG_154	OG_7	4	-	-
OG_154	OG_61	2	-	-
OG_154	OG_42	1	-	+
OG_154	OG_240	1	-	+
OG_154	OG_212	5	-	-
OG_154	OG_270	3	-	+
OG_154	OG_24	1	-	+
OG_154	OG_439	1	-	+
OG_154	OG_43	1	-	+
OG_154	OG_109	1	-	-
OG_155	OG_214	5	-	+
OG_472	OG_471	1	-	-
OG_471	end	1	-	+
OG_532	OG_533	1	+	+
OG_533	OG_534	1	+	+
OG_534	OG_531	1	+	+
OG_531	OG_530	1	+	+
OG_530	OG_345	1	+	+
OG_345	OG_78	1	+	+
OG_345	end	1	+	+
OG_78	OG_529	1	+	-
OG_78	OG_345	1	+	+
OG_78	OG_359	1	+	+
OG_529	OG_527	1	-	+
OG_527	OG_528	1	+	+
OG_528	OG_43	1	+	+
OG_526	OG_525	1	-	-
OG_525	OG_524	1	-	-
OG_524	OG_344	1	-	-
OG_344	OG_346	2	-	-
OG_346	OG_523	1	-	+
OG_346	OG_83	1	-	+
OG_523	OG_46	1	+	+
OG_522	OG_42	1	+	+
OG_521	OG_343	1	-	+
OG_343	OG_212	1	+	-
OG_343	OG_474	1	+	+
OG_259	OG_520	1	-	-
OG_259	OG_600	1	-	-
OG_259	end	1	-	+
OG_520	OG_519	1	-	-
OG_519	OG_342	1	-	+
OG_342	OG_341	1	+	+
OG_342	OG_608	1	+	+
OG_341	OG_340	1	+	+
OG_341	OG_342	1	+	+
OG_340	OG_339	1	+	+
OG_340	OG_341	1	+	+
OG_339	OG_518	1	+	-
OG_339	OG_340	1	+	+
OG_518	OG_517	1	-	-
OG_517	OG_516	1	-	-
OG_516	OG_515	1	-	-
OG_515	OG_210	1	-	-
OG_506	OG_165	1	+	+
OG_507	OG_170	1	+	+
OG_508	OG_241	1	+	+
OG_338	OG_509	1	+	+
OG_338	OG_183	1	+	+
OG_338	OG_243	1	+	+
OG_509	OG_330	1	+	+
OG_330	OG_510	1	+	+
OG_330	OG_216	2	+	+
OG_330	OG_170	1	+	+
OG_330	OG_287	1	+	+
OG_510	OG_511	1	+	+
OG_511	OG_512	1	+	+
OG_512	OG_513	1	+	+
OG_513	OG_218	1	+	+
OG_514	OG_193	1	+	+
OG_505	OG_240	1	-	+
OG_261	OG_504	1	+	+
OG_261	OG_38	1	+	-
OG_261	OG_61	1	+	-
OG_261	OG_245	4	+	+
OG_261	OG_24	1	+	+
OG_261	OG_467	1	+	-
OG_504	OG_580	1	+	-
OG_580	OG_579	1	-	-
OG_579	OG_578	1	-	+
OG_578	OG_577	1	+	+
OG_577	OG_573	1	+	+
OG_573	OG_574	1	+	+
OG_574	OG_575	1	+	+
OG_575	OG_576	1	+	+
OG_576	OG_572	1	+	+
OG_572	OG_347	1	+	+
OG_347	OG_348	1	+	+
OG_347	OG_604	1	+	-
OG_348	OG_245	1	+	+
OG_348	OG_347	1	+	+
OG_571	OG_194	1	-	+
OG_570	OG_569	1	-	-
OG_569	OG_568	1	-	-
OG_568	OG_567	1	-	-
OG_567	OG_566	1	-	+
OG_566	OG_563	1	+	+
OG_563	OG_564	1	+	+
OG_564	OG_565	1	+	+
OG_565	OG_559	1	+	+
OG_559	OG_561	1	+	+
OG_561	OG_562	1	+	+
OG_562	OG_558	1	+	+
OG_558	OG_549	1	+	+
OG_549	OG_550	1	+	+
OG_550	OG_551	1	+	+
OG_551	OG_552	1	+	+
OG_552	OG_553	1	+	+
OG_553	OG_554	1	+	+
OG_554	OG_555	1	+	+
OG_555	OG_556	1	+	+
OG_556	OG_557	1	+	+
OG_557	OG_548	1	+	+
OG_548	OG_209	1	+	+
OG_547	OG_79	1	-	+
OG_545	OG_544	1	-	-
OG_544	OG_543	1	-	-
OG_543	OG_542	1	-	-
OG_542	OG_541	1	-	-
OG_541	OG_540	1	-	-
OG_540	OG_539	1	-	-
OG_539	OG_538	1	-	-
OG_538	OG_537	1	-	-
OG_537	OG_536	1	-	-
OG_536	OG_173	1	-	+
OG_560	OG_117	1	-	+
OG_546	OG_116	1	-	+
OG_535	OG_324	1	+	+
OG_503	end	1	+	+
OG_581	OG_582	1	-	-
OG_582	OG_601	1	-	-
OG_601	OG_593	1	-	-
OG_593	OG_605	1	-	+
OG_605	OG_609	1	+	+
OG_609	OG_610	1	+	+
OG_610	OG_611	1	+	+
OG_611	OG_584	1	+	-
OG_584	OG_583	1	-	-
OG_583	OG_614	1	-	-
OG_614	OG_613	1	-	-
OG_613	OG_585	1	-	+
OG_585	OG_586	1	+	+
OG_586	OG_587	1	+	+
OG_587	OG_588	1	+	+
OG_588	OG_589	1	+	+
OG_589	OG_590	1	+	+
OG_590	OG_591	1	+	-
OG_591	OG_592	1	-	-
OG_592	OG_594	1	-	+
OG_594	OG_80	1	+	+
OG_80	OG_240	3	+	+
OG_597	OG_596	1	-	-
OG_596	OG_595	1	-	-
OG_595	OG_259	1	-	-
OG_600	OG_599	1	-	-
OG_599	OG_598	1	-	-
OG_598	OG_348	1	-	+
OG_604	OG_603	1	-	-
OG_603	OG_602	1	-	-
OG_602	OG_201	1	-	+
OG_606	OG_607	1	+	+
OG_607	OG_339	1	+	+
OG_608	OG_209	1	+	+
OG_81	OG_280	1	+	+
OG_81	OG_177	1	+	+
OG_81	OG_82	2	+	+
OG_334	OG_335	2	+	+
OG_334	OG_156	1	+	+
OG_335	OG_336	2	+	+
OG_335	OG_334	1	+	+
OG_336	OG_612	1	+	+
OG_336	OG_335	1	+	+
OG_336	OG_165	1	+	+
OG_612	end	1	+	+
OG_251	OG_24	2	+	+
OG_82	OG_247	7	+	+
OG_82	OG_180	2	+	+
OG_82	OG_383	1	+	+
OG_247	OG_180	7	+	+
OG_257	OG_165	2	+	+
OG_254	OG_303	2	+	+
OG_70	OG_69	6	-	-
OG_70	OG_1	5	-	-
OG_258	OG_256	4	-	-
OG_258	OG_290	1	-	+
OG_256	OG_255	2	-	+
OG_256	OG_264	1	-	+
OG_256	OG_293	1	-	+
OG_256	OG_258	1	-	-
OG_255	OG_240	2	+	+
OG_246	OG_253	3	+	+
OG_253	OG_214	3	+	+
OG_634	OG_632	1	+	+
OG_632	OG_633	1	+	+
OG_633	OG_212	1	+	-
OG_631	OG_104	1	-	+
OG_630	OG_245	1	+	+
OG_627	OG_628	1	+	+
OG_628	OG_629	1	+	+
OG_629	OG_626	1	+	-
OG_626	OG_625	1	-	-
OG_625	OG_624	1	-	-
OG_624	OG_344	1	-	-
OG_622	OG_162	1	+	+
OG_623	OG_168	1	+	+
OG_621	OG_236	1	+	+
OG_260	OG_620	1	-	-
OG_260	OG_245	2	-	+
OG_620	OG_117	1	-	+
OG_619	OG_221	1	-	+
OG_618	OG_185	1	-	+
OG_617	OG_616	1	-	-
OG_616	OG_81	1	-	+
OG_615	OG_78	1	+	+
OG_636	OG_637	1	+	+
OG_637	OG_635	1	+	-
OG_635	OG_88	1	-	+
OG_304	OG_305	2	+	+
OG_304	OG_443	1	+	+
OG_305	OG_250	2	+	+
OG_307	OG_303	2	+	+
OG_638	OG_639	1	+	+
OG_639	OG_648	1	+	+
OG_648	OG_650	1	+	-
OG_650	OG_649	1	-	-
OG_649	OG_651	1	-	+
OG_651	OG_652	1	+	+
OG_652	OG_653	1	+	+
OG_653	OG_654	1	+	+
OG_654	OG_655	1	+	+
OG_655	OG_641	1	+	-
OG_641	OG_640	1	-	-
OG_640	OG_642	1	-	+
OG_642	OG_643	1	+	+
OG_643	OG_644	1	+	+
OG_644	OG_645	1	+	+
OG_645	OG_646	1	+	+
OG_646	OG_24	1	+	+
OG_322	OG_323	2	+	+
OG_323	OG_7	2	+	-
OG_281	OG_262	1	+	+
OG_281	OG_333	2	+	+
OG_262	OG_320	10	+	+
OG_320	OG_84	1	+	+
OG_320	OG_243	7	+	+
OG_320	OG_167	2	+	+
OG_327	OG_12	2	+	+
OG_327	OG_333	1	+	+
OG_321	OG_197	2	+	+
OG_264	OG_263	2	+	+
OG_264	OG_154	1	+	-
OG_264	OG_204	1	+	+
OG_263	OG_154	1	+	-
OG_263	OG_264	2	+	+
OG_263	OG_294	1	+	+
OG_647	OG_246	1	+	+
OG_3	OG_299	2	+	+
OG_71	OG_72	2	+	+
OG_72	OG_73	2	+	+
OG_73	OG_74	3	+	+
OG_74	OG_75	3	+	+
OG_62	OG_204	2	+	+
OG_54	OG_55	3	+	+
OG_55	OG_56	3	+	+
OG_56	OG_57	3	+	+
OG_57	OG_59	3	+	+
OG_59	OG_52	2	+	+
OG_59	OG_451	1	+	+
OG_52	OG_53	3	+	+
OG_53	OG_51	3	+	+
OG_51	OG_49	3	+	+
OG_49	OG_50	3	+	+
OG_50	OG_48	3	+	-
OG_48	OG_47	3	-	-
OG_47	OG_46	3	-	+
OG_40	OG_39	3	+	-
OG_31	OG_32	3	+	+
OG_32	OG_33	3	+	+
OG_33	OG_34	3	+	+
OG_34	OG_27	3	+	+
OG_27	OG_28	3	+	+
OG_28	OG_29	3	+	+
OG_29	OG_30	3	+	+
OG_30	OG_20	2	+	+
OG_30	end	1	+	+
OG_20	OG_18	2	+	+
OG_18	OG_16	2	+	+
OG_16	OG_211	2	+	-
OG_353	OG_354	1	+	+
OG_354	OG_381	1	+	+
OG_381	OG_382	1	+	+
OG_382	OG_385	1	+	+
OG_385	OG_386	1	+	+
OG_386	OG_388	1	+	+
OG_388	OG_389	1	+	+
OG_389	OG_390	1	+	+
OG_390	OG_355	1	+	-
OG_355	OG_391	1	-	-
OG_391	OG_357	1	-	+
OG_357	OG_361	1	+	+
OG_361	OG_375	1	+	-
OG_375	OG_79	1	-	+
OG_380	OG_379	1	-	-
OG_379	OG_209	1	-	+
OG_383	OG_384	1	+	+
OG_384	OG_185	1	+	+
OG_85	OG_221	3	+	+
OG_387	OG_225	1	+	+
OG_356	OG_83	1	+	+
OG_358	OG_194	1	+	+
OG_359	OG_360	1	+	+
OG_360	OG_64	1	+	+
OG_362	OG_363	1	+	+
OG_363	OG_364	1	+	+
OG_364	OG_365	1	+	+
OG_365	OG_366	1	+	+
OG_366	OG_367	1	+	+
OG_367	OG_368	1	+	+
OG_368	OG_369	1	+	+
OG_369	OG_370	1	+	+
OG_370	OG_371	1	+	+
OG_371	OG_372	1	+	+
OG_372	OG_373	1	+	+
OG_373	OG_80	1	+	+
OG_374	OG_203	1	-	+
OG_376	OG_377	1	+	+
OG_377	OG_378	1	+	+
OG_378	end	1	+	+
OG_392	end	1	-	+
OG_423	OG_24	1	+	+
OG_422	OG_428	1	+	+
OG_428	OG_67	1	+	+
OG_420	OG_421	1	+	+
OG_421	OG_167	1	+	+
OG_427	OG_426	1	+	+
OG_426	OG_282	1	+	+
OG_282	OG_174	2	+	+
OG_282	OG_234	4	+	+
OG_282	OG_156	1	+	+
OG_424	OG_425	1	+	+
OG_425	OG_284	1	+	+
OG_268	OG_82	2	+	+
OG_279	OG_224	3	+	+
OG_267	OG_326	3	+	+
OG_326	OG_241	4	+	+
OG_326	OG_225	1	+	+
OG_270	OG_240	8	+	+
OG_270	OG_454	1	+	+
OG_274	OG_273	4	-	-
OG_273	OG_272	4	-	-
OG_272	OG_271	4	-	-
OG_271	OG_275	4	-	+
OG_275	OG_276	4	+	+
OG_276	OG_277	4	+	+
OG_277	OG_278	4	+	-
OG_278	end	4	-	+
OG_431	OG_225	1	+	+
OG_432	OG_433	1	+	+
OG_433	OG_171	1	+	+
OG_434	OG_77	1	+	+
OG_435	OG_282	1	+	+
OG_429	OG_430	1	+	+
OG_430	OG_181	1	+	+
OG_286	end	2	+	+
OG_291	OG_42	1	+	+
OG_291	OG_24	1	+	+
OG_290	OG_258	1	+	-
OG_290	OG_263	1	+	+
OG_293	OG_79	2	+	+
OG_293	OG_1	1	+	-
OG_294	OG_212	1	+	-
OG_294	OG_79	1	+	+
OG_294	OG_69	1	+	-
OG_289	OG_288	2	-	-
OG_288	end	2	-	+
OG_296	OG_298	3	+	+
OG_298	OG_316	3	+	+
OG_437	OG_216	1	+	+
OG_438	OG_68	1	+	+
OG_300	OG_301	2	+	+
OG_301	OG_87	1	+	+
OG_301	OG_317	1	+	+
OG_297	OG_436	1	-	+
OG_297	OG_109	1	-	-
OG_436	OG_109	1	+	-
OG_440	OG_186	1	+	+
OG_439	OG_7	1	+	-
OG_445	OG_444	1	+	+
OG_444	OG_160	1	+	+
OG_443	OG_250	1	+	+
OG_442	OG_210	1	-	-
OG_446	OG_24	1	+	+
OG_448	OG_449	1	+	+
OG_449	OG_85	1	+	+
OG_450	OG_243	1	+	+
OG_308	OG_309	2	-	+
OG_309	OG_310	2	+	+
OG_310	OG_60	1	+	-
OG_310	OG_313	1	+	+
OG_447	OG_311	1	+	+
OG_311	OG_312	2	+	+
OG_312	OG_313	1	+	+
OG_312	OG_153	1	+	-
OG_313	OG_153	1	+	-
OG_313	OG_343	1	+	+
OG_451	OG_52	1	+	+
OG_454	OG_455	1	+	+
OG_455	OG_240	1	+	+
OG_453	OG_452	1	+	-
OG_452	end	1	-	+
OG_456	OG_111	1	+	-
OG_457	OG_458	1	+	+
OG_458	OG_24	1	+	+
OG_467	OG_466	1	-	-
OG_466	OG_461	1	-	-
OG_461	OG_460	1	-	-
OG_460	OG_459	1	-	-
OG_459	OG_462	1	-	+
OG_462	OG_79	1	+	+
OG_465	OG_326	1	+	+
OG_464	OG_463	1	-	-
OG_463	OG_324	1	-	+
OG_468	OG_164	1	+	+
OG_469	OG_64	1	+	+
OG_477	OG_225	1	+	+
OG_478	OG_479	1	+	+
OG_479	OG_12	1	+	+
OG_480	OG_299	1	+	+
OG_481	OG_161	1	+	+
OG_473	OG_308	1	+	-
OG_474	OG_60	1	+	-
OG_475	OG_476	1	+	+
OG_476	end	1	+	+
OG_483	OG_484	1	+	+
OG_484	OG_85	1	+	+
OG_485	OG_227	1	+	+
OG_482	OG_327	1	+	+
OG_486	OG_172	1	+	+
OG_487	OG_193	1	+	+
