comparison	jaccard_index
strep vs. strep	0.46706586826347307
strep vs. strep	0.5253164556962026
strep vs. strep	0.41798941798941797
strep vs. strep	0.5424836601307189
strep vs. strep	0.4715909090909091
strep vs. strep	0.7313432835820896
strep vs. strep	0.5602409638554217
strep vs. strep	0.706766917293233
strep vs. strep	0.6447368421052632
strep vs. strep	0.59375
strep vs. strep	0.7983870967741935
strep vs. strep	0.7083333333333334
strep vs. strep	0.5923566878980892
strep vs. strep	0.5964912280701754
strep vs. strep	0.6620689655172414
strep vs. amyco	0.37209302325581395
strep vs. amyco	0.38095238095238093
strep vs. amyco	0.39111111111111113
strep vs. amyco	0.38095238095238093
strep vs. amyco	0.39285714285714285
strep vs. amyco	0.38095238095238093
strep vs. amyco	0.3706896551724138
strep vs. amyco	0.38095238095238093
strep vs. amyco	0.3659574468085106
strep vs. amyco	0.35
strep vs. amyco	0.42
strep vs. amyco	0.3497942386831276
strep vs. amyco	0.38095238095238093
strep vs. amyco	0.3826086956521739
strep vs. amyco	0.31063829787234043
strep vs. amyco	0.31877729257641924
strep vs. amyco	0.31063829787234043
strep vs. amyco	0.32599118942731276
strep vs. amyco	0.31063829787234043
strep vs. amyco	0.30638297872340425
strep vs. amyco	0.31063829787234043
strep vs. amyco	0.3025210084033613
strep vs. amyco	0.2987551867219917
strep vs. amyco	0.3582089552238806
strep vs. amyco	0.2886178861788618
strep vs. amyco	0.31063829787234043
strep vs. amyco	0.31196581196581197
strep vs. amyco	0.4046511627906977
strep vs. amyco	0.3936651583710407
strep vs. amyco	0.40654205607476634
strep vs. amyco	0.3936651583710407
strep vs. amyco	0.37668161434977576
strep vs. amyco	0.3936651583710407
strep vs. amyco	0.37168141592920356
strep vs. amyco	0.37280701754385964
strep vs. amyco	0.4521276595744681
strep vs. amyco	0.3722943722943723
strep vs. amyco	0.3936651583710407
strep vs. amyco	0.39545454545454545
strep vs. amyco	0.47767857142857145
strep vs. amyco	0.4794520547945205
strep vs. amyco	0.47767857142857145
strep vs. amyco	0.4732142857142857
strep vs. amyco	0.47767857142857145
strep vs. amyco	0.4669603524229075
strep vs. amyco	0.44206008583690987
strep vs. amyco	0.533678756476684
strep vs. amyco	0.4406779661016949
strep vs. amyco	0.47767857142857145
