group	cat	Metallophore	NRPS	PKS	Terpene	Other
BGC_Enriched_Pezizomycotina	full	1.7250166594218148	35.29257623947547	39.25626560917176	13.686523610839224	21.518262543001125
BGC_Enriched_Pezizomycotina	strict	2.561725618515901	30.835829600172403	58.29728121697483	20.325089598880318	5.026366205967478
Mucoromycota	full	9.868118823376928	39.62562661977774	4.0100742943428305	48.22746401238635	2.087335008686857
Mucoromycota	strict	13.879443761059232	15.08384374589127	5.640142933235803	67.83160868642256	2.9358228637183403
Basal_Pezizomycotina	full	12.446660988145057	31.53423564828341	22.523080233730756	29.493747453923742	14.79207634395869
Basal_Pezizomycotina	strict	17.437597882795792	17.053870634040315	31.554520250195633	41.32032748767758	7.750043503464797
Saccharomycotina	full	3.742448881904619	41.17962729920009	0.0	51.335474936990664	7.484897763809238
Saccharomycotina	strict	6.166337776815625	9.249506665223436	0.0	84.58415555796094	6.166337776815625
Pucciniomycotina	full	0.0	44.342644331716585	2.0184803812930925	49.60191452440415	4.036960762586185
Pucciniomycotina	strict	0.0	20.173371933019475	2.8950078695492256	71.14160445833285	5.790015739098451
Taphrinomycotina	full	0.0	46.15384615384615	3.8461538461538463	50.0	0.0
Taphrinomycotina	strict	0.0	22.22222222222222	5.555555555555555	72.22222222222221	0.0
Ustilaginomycotina	full	0.7547114298746056	63.28746399276074	13.960953335105744	21.82627894299087	5.956972416198561
Ustilaginomycotina	strict	1.3008807073406645	36.719350047074236	24.06421067816594	37.621512098591296	10.267911924536177
Agaricomycetes	full	1.5812492408858487	34.07932307875268	10.201239519615289	43.793366074056394	14.936368545397857
Agaricomycetes	strict	2.5716589372335728	13.23715362852306	16.590748696127175	71.22318123156582	3.844702347595561
Tremellomycetes	full	0.0	44.99716979228507	4.194893519408429	45.92065117079269	6.2855833573166455
Tremellomycetes	strict	0.0	7.086241252696006	7.086241252696006	77.57165019126002	10.617947720913294
